track_name,artist_name,artist_genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
Super Gremlin,Kodak Black,"['florida_rap', 'hip_hop', 'melodic_rap', 'miami_hip_hop', 'rap', 'trap']",91,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993,4A8cWXxKfIL3lAyUDzXbCF
abcdefu,GAYLE,['modern_alternative_pop'],100,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932,4fouWK6XVHhzl78KzQ1UjL
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,"['modern_rock', 'rock']",98,0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011,1r9xUipOqoNwggBpENDsvJ
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,"['lgbtq+_hip_hop', 'pop']",95,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,27NovPIUIRrOZoCHxABJwK
Knife Talk (with 21 Savage ft. Project Pat),Drake,"['canadian_hip_hop', 'canadian_pop', 'hip_hop', 'rap', 'toronto_rap']",89,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,2BcMwX1MPV6ZHP4tUT9uq6
STAY (with Justin Bieber),The Kid LAROI,['australian_hip_hop'],96,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,5HCyWlXZPP0y6Gqq8TgA20
good 4 u,Olivia Rodrigo,['pop'],95,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,4ZtFanR9U6ndgddUvNcjcG
I Hate U,SZA,"['pop', 'r&b']",91,0.535,0.388,7,-9.805,0,0.155,0.507,0.0,0.11,0.412,106.703,5dXWFMwD7I7zXsInONVl0H
Need to Know,Doja Cat,"['dance_pop', 'pop']",93,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,3Vi5XqYrmQgOYBajMWSvCi
Easy On Me,Adele,"['british_soul', 'pop', 'pop_soul', 'uk_pop']",96,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,0gplL1WMoJ6iYaPgMCL0gX
Woman,Doja Cat,"['dance_pop', 'pop']",95,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,6Uj1ctrBOjOas8xZXGqKk4
Better Days (NEIKED x Mae Muller x Polo G),NEIKED,['scandipop'],90,0.717,0.671,0,-5.077,0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,6f5ExP43esnvdKPddwKXJH
Broadway Girls (feat. Morgan Wallen),Lil Durk,"['chicago_drill', 'chicago_rap', 'drill', 'hip_hop', 'rap', 'trap']",85,0.659,0.745,10,-3.599,1,0.0347,0.0417,0.0,0.296,0.54,74.967,3DZ8dbKg4OTSSqGARvecYd
Cold Heart - PNAU Remix,Elton John,"['glam_rock', 'mellow_gold', 'piano_rock']",96,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,6zSpb8dQRaw0M1dK8PBwQz
Meet Me At Our Spot,THE ANXIETY,['modern_alternative_pop'],90,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,07MDkzWARZaLEdKxo6yArG
Sky,Playboi Carti,"['atl_hip_hop', 'plugg', 'pluggnb', 'rap', 'trap']",88,0.785,0.903,2,-4.184,1,0.21,0.258,0.0,0.169,0.565,139.98,29TPjc8wxfz4XMn21O7VsZ
