track_name,artist_name,artist_genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
We Don't Talk About Bruno,Carolina Gaitán - La Gaita,[],96,0.577,0.45,0,-8.516,0,0.0834,0.357,0.0,0.111,0.83,205.863,52xJxFP6TqMuO4Yt0eOkMz,216120,4
Super Gremlin,Kodak Black,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'trap']",91,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993,4A8cWXxKfIL3lAyUDzXbCF,200548,4
Surface Pressure,Jessica Darrow,[],92,0.65,0.584,2,-8.286,1,0.307,0.0174,1.54e-06,0.042,0.37,180.088,760jhRscwGbIIe1m1IIQpU,202227,4
abcdefu,GAYLE,['modern alternative pop'],100,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932,4fouWK6XVHhzl78KzQ1UjL,168602,4
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,"['modern rock', 'rock']",98,0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011,1r9xUipOqoNwggBpENDsvJ,173381,4
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,"['lgbtq+ hip hop', 'pop']",95,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,27NovPIUIRrOZoCHxABJwK,212000,4
Knife Talk (with 21 Savage ft. Project Pat),Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",89,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,2BcMwX1MPV6ZHP4tUT9uq6,242966,4
STAY (with Justin Bieber),The Kid LAROI,['australian hip hop'],96,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,5HCyWlXZPP0y6Gqq8TgA20,141806,4
good 4 u,Olivia Rodrigo,['pop'],95,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,4ZtFanR9U6ndgddUvNcjcG,178147,4
I Hate U,SZA,"['pop', 'r&b']",91,0.535,0.388,7,-9.805,0,0.155,0.507,0.0,0.11,0.412,106.703,5dXWFMwD7I7zXsInONVl0H,174000,5
Need to Know,Doja Cat,"['dance pop', 'pop']",93,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,3Vi5XqYrmQgOYBajMWSvCi,210560,4
The Family Madrigal,Stephanie Beatriz,[],89,0.594,0.628,1,-6.345,1,0.359,0.12,0.0,0.0582,0.556,141.391,4b1yxSdlumA8N4fEk4UOZp,257213,4
Easy On Me,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",96,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,0gplL1WMoJ6iYaPgMCL0gX,224695,4
What Else Can I Do?,Diane Guerrero,[],89,0.718,0.709,4,-5.568,1,0.039,0.258,0.0,0.101,0.54,119.974,3XoYqtiWHhsk59frZupImG,179427,4
Woman,Doja Cat,"['dance pop', 'pop']",95,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,6Uj1ctrBOjOas8xZXGqKk4,172627,4
Better Days (NEIKED x Mae Muller x Polo G),NEIKED,['scandipop'],90,0.717,0.671,0,-5.077,0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,6f5ExP43esnvdKPddwKXJH,160657,4
Broadway Girls (feat. Morgan Wallen),Lil Durk,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",85,0.659,0.745,10,-3.599,1,0.0347,0.0417,0.0,0.296,0.54,74.967,3DZ8dbKg4OTSSqGARvecYd,185600,4
Cold Heart - PNAU Remix,Elton John,"['glam rock', 'mellow gold', 'piano rock']",96,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,6zSpb8dQRaw0M1dK8PBwQz,202735,4
Meet Me At Our Spot,THE ANXIETY,['modern alternative pop'],90,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,07MDkzWARZaLEdKxo6yArG,162680,4
Sky,Playboi Carti,"['atl hip hop', 'plugg', 'pluggnb', 'rap', 'trap']",88,0.785,0.903,2,-4.184,1,0.21,0.258,0.0,0.169,0.565,139.98,29TPjc8wxfz4XMn21O7VsZ,193234,4
Heat Waves,Glass Animals,"['gauze pop', 'indietronica', 'shiver pop']",90,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,3USxtqRwSYz57Ewm6wWRMp,238805,4
THATS WHAT I WANT,Lil Nas X,"['lgbtq+ hip hop', 'pop']",94,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,0e8nrvls4Qqv5Rfa2UhqmO,143901,4
One Right Now (with The Weeknd),Post Malone,"['dfw rap', 'melodic rap', 'rap']",92,0.687,0.781,1,-4.806,1,0.053,0.0361,0.0,0.0755,0.688,97.014,00Blm7zeNqgYLPtW6zg8cj,193507,4
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,['pop'],91,0.631,0.518,0,-8.771,1,0.0303,0.274,0.0,0.088,0.205,93.023,5enxwA8aAbwZbf5qCHORXi,613027,4
Shivers,Ed Sheeran,"['pop', 'uk pop']",95,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,50nfwKoDiSYg8zOCREWAm5,207853,4
Happier Than Ever,Billie Eilish,"['art pop', 'electropop', 'pop']",92,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,4RVwu0g32PAqgUiJoXsdF8,298899,3
Way 2 Sexy (with Future & Young Thug),Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",88,0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,0k1WUmIRnG3xU6fvvDVfRG,257605,4
Waiting On A Miracle,Stephanie Beatriz,[],87,0.48,0.554,1,-8.145,0,0.069,0.171,0.0,0.131,0.267,190.066,3oRW9ZGPRbLRMneQ5lwflt,161840,3
traitor,Olivia Rodrigo,['pop'],92,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,5CZ40GBx1sQ9agT82CLQCT,229227,4
Bad Habits,Ed Sheeran,"['pop', 'uk pop']",95,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,3rmo8F54jFF8OgYsqTxm5d,230747,4
Freaks,Surf Curse,"['dreamo', 'indie surf', 'surf punk', 'vegas indie']",89,0.345,0.941,9,-9.918,1,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,7EkWXAI1wn8Ii883ecd9xr,147062,4
Oh My God,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",93,0.534,0.725,1,-3.906,1,0.046,0.091,0.0,0.0264,0.55,88.098,3Kkjo3cT83cw09VJyrLNwX,225149,4
Dos Oruguitas,Sebastian Yatra,"['colombian pop', 'latin', 'reggaeton', 'reggaeton colombiano']",86,0.423,0.355,0,-10.565,1,0.0454,0.761,0.0,0.0915,0.465,93.788,5rohUzwEoRsUvAA1Bf3DLo,214613,4
Wants and Needs (feat. Lil Baby),Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",86,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006,65OVbaJR5O1RmwOQx0875b,192956,4
YKWIM?,Yot Club,['bedroom pop'],87,0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,2vWBUC9djv6BtiGlmKiQaH,212750,3
Blinding Lights,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",93,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,0VjIjW4GlUZAMYd2vXMi3b,200040,4
By Your Side,Rod Wave,['florida rap'],83,0.649,0.508,8,-10.232,1,0.0959,0.0345,3.59e-05,0.0736,0.405,157.975,2AaJeBEq3WLcfFW1y8svDf,194051,4
drivers license,Olivia Rodrigo,['pop'],92,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,5wANPM4fQCJwkGd4rN57mH,242013,4
You Right,Doja Cat,"['dance pop', 'pop']",89,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,0k4d5YPDr1r7FX77VdqWez,186173,4
love nwantiti (ah ah ah),CKay,['afro r&b'],93,0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005,2Xr1dTzJee307rmrkt8c0g,145800,4
Softcore,The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop']",91,0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,2K7xn816oNHJZ0aVqdQsha,206280,4
All Girls Are The Same,Juice WRLD,"['chicago rap', 'melodic rap']",86,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,4VXIryQMWpIdGgYR4TrjT1,165820,4
Notion,The Rare Occasions,['la indie'],88,0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488,0sTlGEld0h8kIPZaKDYUf4,195121,4
deja vu,Olivia Rodrigo,['pop'],90,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,6HU7h9RYOaPRFeh0R3UeAr,215507,4
Toxic,BoyWithUke,[],93,0.594,0.612,8,-6.627,0,0.363,0.835,0.0,0.461,0.687,179.629,2gQPv5jvVPqU2a9HhMNO1v,168020,4
Kiss Me More (feat. SZA),Doja Cat,"['dance pop', 'pop']",90,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,748mdHapucXQri7IAO8yFK,208867,4
Good Days,SZA,"['pop', 'r&b']",86,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,3YJJjQPAbDT7mGpX3WtQ9A,279204,4
Lucid Dreams,Juice WRLD,"['chicago rap', 'melodic rap']",88,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,285pBltuF7vW8TeWk8hdRR,239836,4
Tell Em,Cochise,"['plugg', 'pluggnb']",86,0.672,0.717,5,-7.476,1,0.226,0.103,0.0,0.398,0.473,157.905,7nc7mlSdWYeFom84zZ8Wr8,180380,4
Jugaste y Sufrí,Eslabon Armado,"['corrido', 'corridos tumbados', 'nuevo regional mexicano', 'sierreno']",86,0.39,0.499,7,-7.778,1,0.0381,0.632,0.000497,0.115,0.34,200.156,3NqBxTOMCJ3zW9CIP51td4,275194,1
Get Into It (Yuh),Doja Cat,"['dance pop', 'pop']",88,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,0W6I02J9xcqK8MtSeosEXb,138293,4
Pepas,Farruko,"['latin', 'reggaeton', 'trap latino']",94,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,5fwSHlTEWpluwOM0Sxnh5k,287120,4
Hrs and Hrs,Muni Long,"['alternative r&b', 'indie r&b', 'pop r&b', 'pop rap', 'r&b']",86,0.511,0.525,8,-4.595,0,0.183,0.604,0.0,0.111,0.661,139.885,3xRH6FPVtheDyNla3T1FE7,204317,3
